# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 315
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Apr 07 21:15:37 EDT 2016
# Player 1: Player-0, 'MK7NoRandom - TimeLimited iterative', running on 127.0.0.1
# Player 2: Player-1, 'MK7NoRandom', running on 127.0.0.1
START Player-0 MK7NoRandom - TimeLimited iterative
START Player-1 MK7NoRandom
PIT 0 6
PIT 1 1
PIT 0 5
PIT 1 19
PIT 0 2
PIT 1 10
PIT 0 13
PIT 1 8
PIT 0 19
PIT 1 20
PIT 0 0
PIT 1 1
PIT 0 1
PIT 1 0
PIT 0 3
PIT 1 1
PIT 0 6
PIT 1 1
PIT 0 12
PIT 1 0
PIT 0 4
PIT 1 1
PIT 0 5
PIT 1 28
GAMEOVER TIMEOUT WINNER 1
# Game ended: Thu Apr 07 21:16:43 EDT 2016
