# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 359
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Apr 07 22:22:07 EDT 2016
# Player 1: Player-0, 'MK7NoRandom', running on 127.0.0.1
# Player 2: Player-1, 'MKXI+iterative', running on 127.0.0.1
START Player-0 MK7NoRandom
START Player-1 MKXI+iterative
PIT 0 6
PIT 1 2
PIT 0 15
PIT 1 14
PIT 0 22
PIT 1 3
PIT 0 25
PIT 1 0
PIT 0 7
PIT 1 18
PIT 0 26
PIT 1 1
PIT 0 2
PIT 1 2
PIT 0 3
PIT 1 3
PIT 0 6
PIT 1 4
PIT 0 11
PIT 1 7
PIT 0 1
PIT 1 10
PIT 0 17
PIT 1 12
PIT 0 0
PIT 1 15
PIT 0 1
PIT 1 16
PIT 0 3
PIT 1 17
PIT 0 21
GAMEOVER WINNER 0
# Game ended: Thu Apr 07 22:23:05 EDT 2016
