# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 234
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Apr 06 21:45:43 EDT 2016
# Player 1: Player-0, 'MKX_No_Randomized_+Danger+21+Timer', running on 127.0.0.1
# Player 2: Player-1, 'MK7No_Randomized_no_danger', running on 127.0.0.1
START Player-0 MKX_No_Randomized_+Danger+21+Timer
START Player-1 MK7No_Randomized_no_danger
PIT 0 8
PIT 1 0
PIT 0 15
PIT 1 15
PIT 0 1
PIT 1 25
PIT 0 23
PIT 1 22
PIT 0 2
PIT 1 19
PIT 0 0
PIT 1 20
PIT 0 4
PIT 1 2
PIT 0 9
PIT 1 3
PIT 0 10
PIT 1 4
PIT 0 11
PIT 1 6
PIT 0 12
PIT 1 9
PIT 0 13
PIT 1 7
PIT 0 14
PIT 1 12
GAMEOVER WINNER 1
# Game ended: Wed Apr 06 21:46:11 EDT 2016
