# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 274
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Apr 07 18:38:37 EDT 2016
# Player 1: Player-0, 'MK7NoRandom', running on 127.0.0.1
# Player 2: Player-1, 'MKXI+iterative', running on 127.0.0.1
START Player-0 MK7NoRandom
START Player-1 MKXI+iterative
PIT 0 6
PIT 1 1
PIT 0 5
PIT 1 2
PIT 0 21
PIT 1 0
PIT 0 26
PIT 1 10
PIT 0 12
PIT 1 22
PIT 0 9
PIT 1 4
PIT 0 5
PIT 1 25
PIT 0 8
PIT 1 6
PIT 0 0
PIT 1 9
PIT 0 1
PIT 1 10
PIT 0 2
PIT 1 7
PIT 0 3
PIT 1 11
PIT 0 4
PIT 1 14
PIT 0 14
GAMEOVER WINNER 0
# Game ended: Thu Apr 07 18:39:30 EDT 2016
